sexo,posse_de_veiculo,posse_de_imovel,qtd_filhos,tipo_renda,educacao,estado_civil,tipo_residencia,idade,tempo_emprego,qt_pessoas_residencia,renda,log_renda
F,False,True,0,Empresário,Secundário,Solteiro,Casa,26,6.602739726027397,1.0,8060.34,8.994711018233799
M,True,True,0,Assalariado,Superior completo,Casado,Casa,28,7.183561643835616,2.0,1852.15,7.524102405446845
F,True,True,0,Empresário,Superior completo,Casado,Casa,35,0.8383561643835616,2.0,2253.89,7.720412891279311
F,False,True,1,Servidor público,Superior completo,Casado,Casa,30,4.846575342465753,3.0,6600.77,8.794941587876158
M,True,False,0,Assalariado,Secundário,Solteiro,Governamental,33,4.293150684931507,1.0,6475.97,8.775853682297605
F,False,True,0,Assalariado,Superior completo,Casado,Casa,39,4.345205479452055,2.0,1445.87,7.2764664954959875
F,False,True,0,Empresário,Superior completo,Viúvo,Casa,55,6.3780821917808215,1.0,1726.03,7.453579252720595
F,False,True,0,Empresário,Secundário,Casado,Casa,36,3.104109589041096,2.0,2515.98,7.830417668663141
F,False,True,0,Assalariado,Secundário,Casado,Casa,50,18.6054794520548,2.0,3420.34,8.137495240319966
M,True,True,0,Assalariado,Superior completo,Casado,Casa,60,10.558904109589042,2.0,12939.14,9.468012105258962
M,False,False,0,Empresário,Secundário,Casado,Casa,39,2.0876712328767124,2.0,6402.41,8.764429760965898
F,False,True,0,Pensionista,Secundário,Casado,Casa,65,0.0,2.0,1685.51,7.429823467614095
F,False,True,0,Pensionista,Secundário,Viúvo,Casa,60,0.0,1.0,6343.52,8.755189098409293
F,True,False,0,Assalariado,Superior completo,Casado,Casa,41,15.04109589041096,2.0,581.18,6.365060519541752
M,True,True,0,Empresário,Superior completo,Casado,Casa,58,4.586301369863014,2.0,25359.65,10.140914607194095
M,True,True,1,Assalariado,Secundário,Solteiro,Casa,31,2.043835616438356,2.0,1171.49,7.066031721846544
F,False,False,0,Empresário,Secundário,União,Casa,53,8.545205479452052,2.0,3675.33,8.209398203533892
F,True,True,0,Servidor público,Secundário,Solteiro,Casa,45,15.82739726027397,1.0,19763.27,9.89158044344055
M,True,True,1,Assalariado,Superior completo,Separado,Casa,44,6.934246575342466,2.0,13678.63,9.523590039962746
M,False,True,0,Servidor público,Superior completo,Casado,Casa,26,6.1589041095890416,2.0,5287.82,8.57316134161783
M,True,True,1,Assalariado,Secundário,Solteiro,Casa,40,20.60821917808219,2.0,26174.03,10.172522976790363
F,True,True,0,Pensionista,Superior incompleto,Casado,Casa,58,0.0,2.0,1649.37,7.408148675801686
F,False,True,0,Pensionista,Secundário,Viúvo,Casa,61,0.0,1.0,4715.57,8.458625078534983
F,True,True,0,Pensionista,Secundário,Casado,Casa,59,0.0,2.0,799.18,6.683586201996188
M,True,True,1,Empresário,Secundário,Casado,Casa,24,6.594520547945206,3.0,8264.29,9.019699102148916
F,False,True,0,Pensionista,Secundário,Viúvo,Casa,64,0.0,1.0,3313.32,8.105705986829545
M,True,True,2,Empresário,Superior completo,Casado,Casa,40,0.6273972602739726,4.0,4016.38,8.298136278409176
F,True,True,0,Empresário,Secundário,Casado,Casa,50,19.30958904109589,2.0,4655.96,8.445903398309078
F,False,True,1,Assalariado,Secundário,Viúvo,Casa,42,0.8356164383561644,2.0,5611.78,8.632623238743324
F,False,True,1,Empresário,Secundário,Casado,Casa,37,7.528767123287671,3.0,379.52,5.9389072963693055
F,False,True,0,Assalariado,Secundário,Separado,Casa,49,24.301369863013697,1.0,8715.76,9.072888160118627
M,False,True,0,Empresário,Secundário,Solteiro,Com os pais,28,3.512328767123288,1.0,1055.21,6.961495078234621
M,True,True,1,Assalariado,Superior incompleto,Casado,Casa,31,1.8301369863013703,3.0,1998.33,7.6000671107354
F,False,True,0,Pensionista,Secundário,Solteiro,Casa,40,0.0,1.0,1273.34,7.1493986485209
F,False,True,0,Empresário,Secundário,Casado,Casa,50,1.747945205479452,2.0,8051.62,8.993628592402132
F,False,True,0,Assalariado,Superior completo,Solteiro,Casa,54,7.958904109589041,1.0,6392.79,8.762926071799237
M,False,True,0,Empresário,Secundário,Solteiro,Aluguel,51,4.3780821917808215,1.0,2557.77,7.846891064100974
F,False,True,0,Pensionista,Secundário,Casado,Governamental,61,0.0,2.0,5955.15,8.692011670389041
F,False,True,0,Assalariado,Secundário,Casado,Casa,54,3.0904109589041098,2.0,2083.35,7.641732454030338
F,False,False,0,Assalariado,Secundário,União,Com os pais,30,3.9287671232876713,2.0,856.31,6.752632460114138
F,True,True,1,Empresário,Superior completo,Casado,Casa,45,7.315068493150685,3.0,2963.48,7.994119532428336
M,True,True,0,Pensionista,Secundário,Casado,Casa,64,0.0,2.0,32667.31,10.394130162668228
F,True,True,1,Assalariado,Secundário,Casado,Casa,41,9.01917808219178,3.0,4082.3,8.314415834054879
F,False,True,2,Assalariado,Secundário,Separado,Casa,40,6.594520547945206,3.0,3557.34,8.176768353548507
F,False,True,0,Servidor público,Superior completo,Separado,Casa,45,25.356164383561644,1.0,25664.46,10.152862434445758
F,False,True,0,Empresário,Superior completo,Casado,Casa,47,3.2931506849315078,2.0,699.19,6.549922522179553
F,True,True,2,Empresário,Superior completo,Casado,Casa,37,17.361643835616437,4.0,8861.49,9.089470201017438
M,False,True,0,Assalariado,Secundário,Casado,Casa,51,17.194520547945206,2.0,22184.17,10.007134250446923
